#	Aux1	The story may be false .	Aux
1	The	_	DET	DT	_	2	det	_	_
2	story	_	NOUN	NN	_	5	nsubj	_	_
3	may	_	AUX	MD	_	5	aux	_	_
4	be	_	VERB	VB	_	5	cop	_	_
5	sad	_	ADJ	JJ	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_
Q	It is a happy story.
A	N

#	Aux2	This book might be useful for you .	Aux
1	This	_	DET	DT	_	2	det	_	_
2	book	_	NOUN	NN	_	5	nsubj	_	_
3	might	_	AUX	MD	_	5	aux	_	_
4	be	_	VERB	VB	_	5	cop	_	_
5	useful	_	ADJ	JJ	_	0	root	_	_
6	for	_	ADP	IN	_	5	prep	_	_
7	you	_	PRON	PRP	_	6	pobj	_	_
8	.	_	PUNCT	.	_	5	punct	_	_
Q	Possible, the book is useful.
A	Y

#	Aux3	He should be back at any moment .	Aux
1	He	_	PRON	PRP	_	3	nsubj	_	_
2	should	_	AUX	MD	_	3	aux	_	_
3	be	_	VERB	VB	_	0	root	_	_
4	back	_	ADV	RB	_	3	advmod	_	_
5	at	_	ADP	IN	_	3	prep	_	_
6	any	_	DET	DT	_	7	det	_	_
7	moment	_	NOUN	NN	_	5	pobj	_	_
8	.	_	PUNCT	.	_	3	punct	_	_
Q	He have to get back.
A	Y

#	Aux4	In Japan prices ought to go up in the near future .	Aux
1	In	_	ADP	IN	_	4	prep	_	_
2	Japan	_	PROPN	NNP	_	1	pobj	_	_
3	prices	_	NOUN	NNS	_	4	nsubj	_	_
4	ought	_	AUX	MD	_	0	root	_	_
5	to	_	PART	TO	_	6	aux	_	_
6	go	_	VERB	VB	_	4	xcomp	_	_
7	up	_	ADP	RP	_	6	prt	_	_
8	in	_	ADP	IN	_	6	prep	_	_
9	the	_	DET	DT	_	11	det	_	_
10	near	_	ADJ	JJ	_	11	amod	_	_
11	future	_	NOUN	NN	_	8	pobj	_	_
12	.	_	PUNCT	.	_	4	punct	_	_
Q	Prices will be down in Japan.
A	N

#	Aux5	He must be over thirty from his appearance .	Aux
1	He	_	PRON	PRP	_	3	nsubj	_	_
2	must	_	AUX	MD	_	3	aux	_	_
3	be	_	VERB	VB	_	0	root	_	_
4	over	_	ADP	IN	_	3	prep	_	_
5	thirty	_	NUM	CD	_	4	pobj	_	_
6	from	_	ADP	IN	_	3	prep	_	_
7	his	_	PRON	PRP	_	8	poss	_	_
8	appearance	_	NOUN	NN	_	6	pobj	_	_
9	.	_	PUNCT	.	_	3	punct	_	_
Q	He looks like teenager.
A	N

#	Aux6	He must have stolen the money .	Aux
1	He	_	PRON	PRP	_	4	nsubj	_	_
2	must	_	AUX	MD	_	4	aux	_	_
3	have	_	AUX	VB	_	4	aux	_	_
4	stolen	_	VERB	VBN	_	0	root	_	_
5	the	_	DET	DT	_	6	det	_	_
6	money	_	NOUN	NN	_	4	dobj	_	_
7	.	_	PUNCT	.	_	4	punct	_	_
Q	He lost his money.
A	Y

#	Aux7	You should have gone to see the concert yesterday .	Aux
1	You	_	PRON	PRP	_	4	nsubj	_	_
2	should	_	AUX	MD	_	4	aux	_	_
3	have	_	AUX	VB	_	4	aux	_	_
4	gone	_	VERB	VBN	_	0	root	_	_
5	to	_	PART	TO	_	6	aux	_	_
6	see	_	VERB	VB	_	4	xcomp	_	_
7	the	_	DET	DT	_	8	det	_	_
8	concert	_	NOUN	NN	_	6	dobj	_	_
9	yesterday	_	NOUN	NN	_	6	tmod	_	_
10	.	_	PUNCT	.	_	4	punct	_	_
Q	It had a concert yesterday.
A	Y

#	Aux8	There were only two guests at the party .	Aux
1	There	_	PRON	EX	_	2	expl	_	_
2	were	_	VERB	VBD	_	0	root	_	_
3	only	_	ADV	RB	_	2	advmod	_	_
4	two	_	NUM	CD	_	5	num	_	_
5	guests	_	NOUN	NNS	_	3	pobj	_	_
6	at	_	ADP	IN	_	2	prep	_	_
7	the	_	DET	DT	_	8	det	_	_
8	party	_	NOUN	NN	_	6	pobj	_	_
9	.	_	PUNCT	.	_	2	punct	_	_
Q	There were so many guests.
A	N

#	Aux9	It seems that there is no room for doubt .	Aux
1	It	_	PRON	PRP	_	2	nsubj	_	_
2	seems	_	VERB	VBZ	_	0	root	_	_
3	that	_	SCONJ	IN	_	5	mark	_	_
4	there	_	PRON	EX	_	5	expl	_	_
5	is	_	VERB	VBZ	_	2	ccomp	_	_
6	no	_	DET	DT	_	7	neg	_	_
7	room	_	NOUN	NN	_	5	nsubj	_	_
8	for	_	ADP	IN	_	7	prep	_	_
9	doubt	_	NOUN	NN	_	8	pobj	_	_
10	.	_	PUNCT	.	_	2	punct	_	_
Q	Some rooms are very questionable.
A	N

#	Aux10	Chances are good that salaries will decrease by 5 % next year .	Aux
1	Chances	_	NOUN	NNS	_	3	nsubj	_	_
2	are	_	VERB	VBP	_	3	cop	_	_
3	good	_	ADJ	JJ	_	0	root	_	_
4	that	_	SCONJ	IN	_	7	mark	_	_
5	salaries	_	NOUN	NNS	_	7	nsubj	_	_
6	will	_	AUX	MD	_	7	aux	_	_
7	decrease	_	VERB	VB	_	3	ccomp	_	_
8	by	_	ADP	IN	_	7	prep	_	_
9	5	_	NUM	CD	_	10	num	_	_
10	%	_	SYM	NN	_	8	pobj	_	_
11	next	_	ADJ	JJ	_	12	amod	_	_
12	year	_	NOUN	NN	_	7	tmod	_	_
13	.	_	PUNCT	.	_	3	punct	_	_
Q	Salaries will decrease in the future..
A	Y

#	Aux11	It is certain that he will come .	Aux
1	It	_	PRON	PRP	_	3	nsubj	_	_
2	is	_	VERB	VBZ	_	3	cop	_	_
3	certain	_	ADJ	JJ	_	0	root	_	_
4	that	_	SCONJ	IN	_	7	mark	_	_
5	he	_	PRON	PRP	_	7	nsubj	_	_
6	will	_	AUX	MD	_	7	aux	_	_
7	come	_	VERB	VB	_	3	ccomp	_	_
8	.	_	PUNCT	.	_	3	punct	_	_
Q	He does not come absolutely.
A	N

#	Aux12	It is possible that he will come .	Aux
1	It	_	PRON	PRP	_	3	nsubj	_	_
2	is	_	VERB	VBZ	_	3	cop	_	_
3	possible	_	ADJ	JJ	_	0	root	_	_
4	that	_	SCONJ	IN	_	7	mark	_	_
5	he	_	PRON	PRP	_	7	nsubj	_	_
6	will	_	AUX	MD	_	7	aux	_	_
7	come	_	VERB	VB	_	3	ccomp	_	_
8	.	_	PUNCT	.	_	3	punct	_	_
Q	It is not sure whether he will come or not.
A	Y

#	Causality1	He was forced to resign because he had taken a bribe .	Causality
1	He	_	PRON	PRP	_	3	nsubjpass	_	_
2	was	_	AUX	VBD	_	3	auxpass	_	_
3	forced	_	VERB	VBN	_	0	root	_	_
4	to	_	PART	TO	_	5	aux	_	_
5	resign	_	VERB	VB	_	3	xcomp	_	_
6	because	_	SCONJ	IN	_	9	mark	_	_
7	he	_	PRON	PRP	_	9	nsubj	_	_
8	had	_	AUX	VBD	_	9	aux	_	_
9	taken	_	VERB	VBN	_	5	advcl	_	_
10	a	_	DET	DT	_	11	det	_	_
11	bribe	_	NOUN	NN	_	9	dobj	_	_
12	.	_	PUNCT	.	_	3	punct	_	_
Q	He wanted to quit his job.
A	N

#	Causality2	You should not despise a man because he is poor .	Causality
1	You	_	PRON	PRP	_	4	nsubj	_	_
2	should	_	AUX	MD	_	4	aux	_	_
3	not	_	PART	RB	_	4	neg	_	_
4	despise	_	VERB	VB	_	0	root	_	_
5	a	_	DET	DT	_	6	det	_	_
6	man	_	NOUN	NN	_	4	dobj	_	_
7	because	_	SCONJ	IN	_	10	mark	_	_
8	he	_	PRON	PRP	_	10	nsubj	_	_
9	is	_	VERB	VBZ	_	10	cop	_	_
10	poor	_	ADJ	JJ	_	4	advcl	_	_
11	.	_	PUNCT	.	_	4	punct	_	_
Q	You should give your money to poor people.
A	N

#	Causality3	The baby cried not because he was sad , but because he was hungry .	Causality
1	The	_	DET	DT	_	2	det	_	_
2	baby	_	NOUN	NN	_	3	nsubj	_	_
3	cried	_	VERB	VBD	_	0	root	_	_
4	not	_	ADV	RB	_	8	dep	_	_
5	because	_	SCONJ	IN	_	8	mark	_	_
6	he	_	PRON	PRP	_	8	nsubj	_	_
7	was	_	VERB	VBD	_	8	cop	_	_
8	sad	_	ADJ	JJ	_	3	advcl	_	_
9	,	_	PUNCT	,	_	8	punct	_	_
10	but	_	CONJ	CC	_	8	cc	_	_
11	because	_	SCONJ	IN	_	14	mark	_	_
12	he	_	PRON	PRP	_	14	nsubj	_	_
13	was	_	VERB	VBD	_	14	cop	_	_
14	hungry	_	ADJ	JJ	_	8	conj	_	_
15	.	_	PUNCT	.	_	3	punct	_	_
Q	Baby often cries when he is hungry.
A	N

#	Causality4	Since we have agreed , we should start the project soon .	Causality
1	Since	_	SCONJ	IN	_	4	mark	_	_
2	we	_	PRON	PRP	_	4	nsubj	_	_
3	have	_	AUX	VBP	_	4	aux	_	_
4	agreed	_	VERB	VBN	_	8	advcl	_	_
5	,	_	PUNCT	,	_	8	punct	_	_
6	we	_	PRON	PRP	_	8	nsubj	_	_
7	should	_	AUX	MD	_	8	aux	_	_
8	start	_	VERB	VB	_	0	root	_	_
9	the	_	DET	DT	_	10	det	_	_
10	project	_	NOUN	NN	_	8	dobj	_	_
11	soon	_	ADV	RB	_	8	advmod	_	_
12	.	_	PUNCT	.	_	8	punct	_	_
Q	The project has already started.
A	N

#	Causality5	Seeing that the ground is wet , it must have rained a while ago .	Causality
1	Seeing	_	VERB	VBG	_	11	vmod	_	_
2	that	_	SCONJ	IN	_	6	mark	_	_
3	the	_	DET	DT	_	4	det	_	_
4	ground	_	NOUN	NN	_	6	nsubj	_	_
5	is	_	VERB	VBZ	_	6	cop	_	_
6	wet	_	ADJ	JJ	_	1	ccomp	_	_
7	,	_	PUNCT	,	_	11	punct	_	_
8	it	_	PRON	PRP	_	11	nsubj	_	_
9	must	_	AUX	MD	_	11	aux	_	_
10	have	_	AUX	VB	_	11	aux	_	_
11	rained	_	VERB	VBD	_	0	root	_	_
12	a	_	DET	DT	_	13	det	_	_
13	while	_	NOUN	NN	_	14	npadvmod	_	_
14	ago	_	ADV	RB	_	11	advmod	_	_
15	.	_	PUNCT	.	_	11	punct	_	_
Q	It was rained that day.
A	Y

#	Causality6	Now that you are an adult , you should do it yourself .	Causality
1	Now	_	ADV	RB	_	6	advmod	_	_
2	that	_	SCONJ	IN	_	6	mark	_	_
3	you	_	PRON	PRP	_	6	nsubj	_	_
4	are	_	VERB	VBP	_	6	cop	_	_
5	an	_	DET	DT	_	6	det	_	_
6	adult	_	NOUN	NN	_	10	advcl	_	_
7	,	_	PUNCT	,	_	10	punct	_	_
8	you	_	PRON	PRP	_	10	nsubj	_	_
9	should	_	AUX	MD	_	10	aux	_	_
10	do	_	VERB	VB	_	0	root	_	_
11	it	_	PRON	PRP	_	10	iobj	_	_
12	yourself	_	PRON	PRP	_	10	dobj	_	_
13	.	_	PUNCT	.	_	10	punct	_	_
Q	An adult has a responsibility to do things by yourself.
A	Y

#	Causality7	Human beings are different from the other animals in that they can use languages .	Causality
1	Human	_	PROPN	NNP	_	2	nn	_	_
2	beings	_	NOUN	NNS	_	4	nsubj	_	_
3	are	_	VERB	VBP	_	4	cop	_	_
4	different	_	ADJ	JJ	_	0	root	_	_
5	from	_	ADP	IN	_	4	prep	_	_
6	the	_	DET	DT	_	8	det	_	_
7	other	_	ADJ	JJ	_	8	amod	_	_
8	animals	_	NOUN	NNS	_	5	pobj	_	_
9	in	_	ADP	IN	_	13	prep	_	_
10	that	_	PRON	WDT	_	9	pobj	_	_
